,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
89,2024-02-01,186.53256676356514,179.68012579646694,191.28117458456322,186.53256676356514,186.53256676356514,-0.9233588977211993,-0.9233588977211993,-0.9233588977211993,-0.9233588977211993,-0.9233588977211993,-0.9233588977211993,0.0,0.0,0.0,185.60920786584396
90,2024-02-02,186.27461657097444,179.87000606220056,191.5874559627596,186.27461657097444,186.27461657097444,-0.5093569928243968,-0.5093569928243968,-0.5093569928243968,-0.5093569928243968,-0.5093569928243968,-0.5093569928243968,0.0,0.0,0.0,185.76525957815005
91,2024-02-05,185.50076599320232,178.3151250798138,190.5090094988533,185.50076599320232,185.50076599320232,-0.8164784817693764,-0.8164784817693764,-0.8164784817693764,-0.8164784817693764,-0.8164784817693764,-0.8164784817693764,0.0,0.0,0.0,184.68428751143296
92,2024-02-06,185.24281580061162,178.47503777327597,190.25563201870773,185.24281580061162,185.24281580061162,-0.9413880343393872,-0.9413880343393872,-0.9413880343393872,-0.9413880343393872,-0.9413880343393872,-0.9413880343393872,0.0,0.0,0.0,184.30142776627224
93,2024-02-07,184.98486560802093,178.03577008018246,189.5653773384459,184.98486560802093,184.98486560802093,-0.9670618611335642,-0.9670618611335642,-0.9670618611335642,-0.9670618611335642,-0.9670618611335642,-0.9670618611335642,0.0,0.0,0.0,184.01780374688735
94,2024-02-08,184.7269154154302,177.82547393549473,189.28498065112478,184.7269154154302,184.7269154154302,-0.92335889772046,-0.92335889772046,-0.92335889772046,-0.92335889772046,-0.92335889772046,-0.92335889772046,0.0,0.0,0.0,183.80355651770975
95,2024-02-09,184.4689652228395,177.97911499521544,189.84527339999232,184.4689652228395,184.4689652228395,-0.509356992831078,-0.509356992831078,-0.509356992831078,-0.509356992831078,-0.509356992831078,-0.509356992831078,0.0,0.0,0.0,183.95960823000843
96,2024-02-12,183.69511464506738,177.07707369960235,188.47623479971685,183.69511464506738,183.69511464506738,-0.8164784817726096,-0.8164784817726096,-0.8164784817726096,-0.8164784817726096,-0.8164784817726096,-0.8164784817726096,0.0,0.0,0.0,182.87863616329477
97,2024-02-13,183.4371642874705,177.12187214835103,188.59774010320345,183.4371642874705,183.4371642874705,-0.9413880343388595,-0.9413880343388595,-0.9413880343388595,-0.9413880343388595,-0.9413880343388595,-0.9413880343388595,0.0,0.0,0.0,182.49577625313162
98,2024-02-14,183.17921392987364,176.6135511206513,188.446085973775,183.17921392987364,183.17921392987364,-0.9670618611339218,-0.9670618611339218,-0.9670618611339218,-0.9670618611339218,-0.9670618611339218,-0.9670618611339218,0.0,0.0,0.0,182.21215206873973
99,2024-02-15,182.92126357227676,176.17546679624326,187.64448057348585,182.92126357227676,182.92126357227676,-0.9233588977210925,-0.9233588977210925,-0.9233588977210925,-0.9233588977210925,-0.9233588977210925,-0.9233588977210925,0.0,0.0,0.0,181.99790467455566
100,2024-02-16,182.66331321467985,176.25835096050403,188.14314601476673,182.66331321467985,182.66331321467985,-0.5093569928310319,-0.5093569928310319,-0.5093569928310319,-0.5093569928310319,-0.5093569928310319,-0.5093569928310319,0.0,0.0,0.0,182.1539562218488
101,2024-02-20,181.63151178429234,174.2927555494309,186.52502740296788,181.63151178429234,181.63151178429234,-0.9413880343406091,-0.9413880343406091,-0.9413880343406091,-0.9413880343406091,-0.9413880343406091,-0.9413880343406091,0.0,0.0,0.0,180.69012374995174
102,2024-02-21,181.37356142669546,175.22668754396875,186.5663565883722,181.37356142669546,181.37356142669546,-0.9670618611342793,-0.9670618611342793,-0.9670618611342793,-0.9670618611342793,-0.9670618611342793,-0.9670618611342793,0.0,0.0,0.0,180.40649956556118
103,2024-02-22,181.11561106909858,174.22735190439712,186.08267234985004,181.11561106909858,181.11561106909858,-0.9233588977203531,-0.9233588977203531,-0.9233588977203531,-0.9233588977203531,-0.9233588977203531,-0.9233588977203531,0.0,0.0,0.0,180.19225217137821
104,2024-02-23,180.85766071284735,174.5535862818639,186.31181366928865,180.85766071284735,180.85766071284735,-0.5093569928270071,-0.5093569928270071,-0.5093569928270071,-0.5093569928270071,-0.5093569928270071,-0.5093569928270071,0.0,0.0,0.0,180.34830372002034
105,2024-02-26,180.08380964409358,173.45967861045608,185.49181122983248,180.08380964409358,180.08380964409358,-0.8164784817749148,-0.8164784817749148,-0.8164784817749148,-0.8164784817749148,-0.8164784817749148,-0.8164784817749148,0.0,0.0,0.0,179.26733116231867
106,2024-02-27,179.82585928784232,173.18606378499388,184.36930093230308,179.82585928784232,179.82585928784232,-0.9413880343405835,-0.9413880343405835,-0.9413880343405835,-0.9413880343405835,-0.9413880343405835,-0.9413880343405835,0.0,0.0,0.0,178.88447125350174
107,2024-02-28,179.5679089315911,172.858297489029,184.3732871392801,179.5679089315911,179.5679089315911,-0.9670618611337563,-0.9670618611337563,-0.9670618611337563,-0.9670618611337563,-0.9670618611337563,-0.9670618611337563,0.0,0.0,0.0,178.60084707045735
108,2024-02-29,179.30995857533986,172.51472171895125,184.31534034116083,179.30995857533986,179.30995857533986,-0.9233588977209857,-0.9233588977209857,-0.9233588977209857,-0.9233588977209857,-0.9233588977209857,-0.9233588977209857,0.0,0.0,0.0,178.38659967761888
109,2024-03-01,179.0520082190886,172.32649411823616,184.45546528084836,179.0520082190886,179.0520082190886,-0.5093569928269608,-0.5093569928269608,-0.5093569928269608,-0.5093569928269608,-0.5093569928269608,-0.5093569928269608,0.0,0.0,0.0,178.54265122626165
110,2024-03-04,178.27815715033486,171.1887827049731,183.34808475497096,178.27815715033486,178.27815715033486,-0.816478481775374,-0.816478481775374,-0.816478481775374,-0.816478481775374,-0.816478481775374,-0.816478481775374,0.0,0.0,0.0,177.4616786685595
111,2024-03-05,178.0202067940836,170.89834160937477,183.39416063701637,178.0202067940836,178.0202067940836,-0.9413880343395536,-0.9413880343395536,-0.9413880343395536,-0.9413880343395536,-0.9413880343395536,-0.9413880343395536,0.0,0.0,0.0,177.07881875974405
